Region,Country,Product Category,Product Name,Sales Amount,Year,Discount,Profit Margin,Order Priority,Customer Age,Payment Method,Delivery Status
Europe,France,Electronics,Smartphone,5709.68,2024,25.9,22.69,High,29,Credit Card,Pending
Europe,UK,Food,Bread,10499.07,2023,16.32,32.54,Medium,46,PayPal,Shipped
Africa,Nigeria,Electronics,Camera,9631.38,2025,13.88,33.16,Low,57,Bank Transfer,Pending
South America,Chile,Furniture,Sofa,4837.19,2023,10.33,20.96,Medium,70,PayPal,Shipped
Africa,South Africa,Electronics,Tablet,15800.58,2024,8.22,32.52,Low,24,Credit Card,Delivered
North America,Canada,Electronics,Laptop,5827.22,2024,27.7,41.52,Medium,23,Credit Card,Shipped
North America,Canada,Furniture,Table,7460.65,2024,6.06,30.41,High,22,Bank Transfer,Shipped
Asia,Japan,Clothing,Jeans,1269.42,2023,14.1,11.23,High,31,PayPal,Pending
North America,Canada,Furniture,Table,8688.83,2024,21.67,14.85,Low,57,Credit Card,Delivered
North America,Mexico,Furniture,Sofa,1360.31,2024,8.9,19.18,Medium,31,Credit Card,Pending
South America,Brazil,Food,Bread,2314.88,2025,20.91,49.03,High,51,PayPal,Pending
Europe,France,Clothing,Dress,11054.85,2025,11.02,29.17,High,44,PayPal,Shipped
North America,Canada,Furniture,Bed,8314.21,2025,6.26,36.6,Low,50,Cash,Pending
South America,Chile,Clothing,Jacket,15634.66,2025,27.21,20.79,Medium,58,PayPal,Pending
Europe,France,Clothing,Jeans,15333.18,2024,12.01,48.31,Medium,26,PayPal,Pending
Africa,Nigeria,Clothing,Jacket,10248.4,2025,9.3,25.86,High,40,PayPal,Delivered
South America,Brazil,Electronics,Tablet,4674.89,2025,23.12,30.83,Medium,35,Cash,Shipped
South America,Chile,Food,Cheese,221.49,2025,16.46,44.28,Medium,47,Credit Card,Shipped
South America,Argentina,Food,Bread,15030.86,2024,28.59,39.86,Low,59,PayPal,Shipped
North America,Mexico,Food,Milk,11612.1,2025,21.68,15.56,Medium,67,Cash,Delivered
Europe,France,Electronics,Camera,10572.35,2025,26.04,35.28,Medium,51,PayPal,Shipped
Asia,South Korea,Electronics,Tablet,10960.06,2023,7.75,20.47,Medium,36,Credit Card,Shipped
Asia,South Korea,Electronics,Laptop,1075.57,2024,6.15,34.47,Low,57,Credit Card,Delivered
North America,USA,Furniture,Chair,6894.1,2025,12.78,28.33,Medium,66,Cash,Pending
Asia,China,Electronics,Tablet,5875.85,2023,15.24,17.06,High,48,Cash,Pending
North America,USA,Clothing,Shirt,16893.13,2024,13.42,20.42,High,32,PayPal,Pending
Africa,South Africa,Food,Fruit,7793.53,2024,12.67,19.43,Medium,49,Credit Card,Delivered
Asia,China,Furniture,Bed,18498.99,2025,17.32,16.81,Low,30,Cash,Delivered
Asia,India,Electronics,Camera,15973.06,2025,21.88,44.87,Medium,45,Credit Card,Delivered
South America,Brazil,Food,Cheese,5056.33,2025,10.21,23.82,Medium,35,Bank Transfer,Pending
Africa,South Africa,Furniture,Table,4655.17,2025,15.1,35.12,High,60,PayPal,Shipped
North America,USA,Food,Fruit,2220.96,2025,26.59,11.61,Medium,36,PayPal,Pending
Europe,UK,Furniture,Sofa,12736.57,2024,19.93,21.62,Low,37,PayPal,Shipped
Africa,South Africa,Food,Fruit,4342.8,2025,14.08,34.95,High,30,Bank Transfer,Delivered
Europe,UK,Clothing,Jacket,818.1,2024,9.97,39.08,Medium,51,Credit Card,Delivered
Africa,South Africa,Electronics,Laptop,9980.64,2024,24.98,43.94,High,41,Bank Transfer,Delivered
Africa,South Africa,Furniture,Chair,10163.0,2023,11.73,19.18,Medium,65,Bank Transfer,Pending
North America,Canada,Clothing,Jacket,314.76,2023,29.53,16.42,Low,45,Cash,Delivered
North America,Canada,Clothing,Shirt,13428.41,2025,22.42,48.11,High,29,Cash,Pending
North America,USA,Clothing,Shirt,19552.44,2023,20.76,17.36,High,28,Credit Card,Pending
Europe,UK,Clothing,Jeans,18539.67,2025,22.24,21.54,High,65,Cash,Pending
South America,Brazil,Electronics,Laptop,10576.86,2024,6.74,38.77,High,37,Credit Card,Pending
Africa,Nigeria,Electronics,Camera,15037.85,2024,24.55,13.53,High,47,Cash,Pending
North America,USA,Food,Cheese,13655.28,2025,18.53,36.43,Medium,62,Bank Transfer,Shipped
South America,Chile,Electronics,Tablet,12833.5,2025,6.98,27.14,Low,22,PayPal,Delivered
Asia,Japan,Electronics,Laptop,14077.05,2025,10.81,48.01,Low,49,PayPal,Delivered
North America,USA,Food,Milk,6137.59,2025,25.99,28.22,High,22,Credit Card,Pending
South America,Chile,Electronics,Camera,12253.62,2025,17.44,18.5,High,68,PayPal,Pending
Asia,Japan,Electronics,Laptop,986.2,2025,19.28,34.63,High,26,Credit Card,Delivered
Europe,Germany,Clothing,Dress,14538.05,2024,18.79,35.56,Medium,50,Bank Transfer,Delivered
Europe,Italy,Furniture,Bed,18210.57,2024,6.78,21.03,High,38,Credit Card,Delivered
South America,Argentina,Furniture,Table,5886.24,2023,6.01,35.58,Low,22,Credit Card,Pending
Asia,South Korea,Food,Bread,2366.82,2024,13.87,12.65,Low,24,PayPal,Delivered
Europe,UK,Electronics,Camera,10430.66,2024,7.68,24.49,Medium,54,Bank Transfer,Delivered
Asia,India,Clothing,Jeans,12357.19,2025,6.46,35.8,Low,30,Cash,Delivered
Europe,UK,Clothing,Shirt,4189.33,2023,18.14,46.34,Medium,30,Credit Card,Pending
Asia,China,Furniture,Bed,6105.27,2025,15.39,37.48,Low,55,Credit Card,Pending
Africa,Nigeria,Electronics,Laptop,12606.85,2024,18.5,35.07,Low,52,Bank Transfer,Shipped
Africa,Nigeria,Food,Cheese,18607.05,2025,22.29,26.33,Medium,42,PayPal,Pending
Europe,Germany,Food,Cheese,14045.7,2025,16.49,33.49,High,46,PayPal,Shipped
Europe,UK,Furniture,Table,16317.22,2023,14.53,24.4,High,48,Cash,Delivered
Asia,China,Clothing,Shirt,4619.24,2024,16.53,47.56,High,40,Cash,Shipped
Europe,UK,Electronics,Smartphone,7875.41,2025,27.36,36.23,Low,39,Credit Card,Pending
North America,Mexico,Electronics,Tablet,3246.56,2025,10.17,39.61,Low,54,PayPal,Delivered
Europe,France,Food,Bread,9665.94,2025,19.9,48.91,High,24,Cash,Shipped
Europe,Italy,Food,Bread,8143.79,2023,29.23,45.69,Medium,66,Cash,Shipped
Africa,South Africa,Food,Cheese,7272.61,2024,14.14,39.52,Low,42,Bank Transfer,Pending
Africa,South Africa,Clothing,Dress,2431.86,2024,19.75,11.91,High,29,Credit Card,Pending
Asia,Japan,Clothing,Jeans,1101.59,2025,20.41,28.98,High,33,Cash,Shipped
Europe,Italy,Electronics,Tablet,17238.4,2024,20.28,42.17,Medium,41,Bank Transfer,Delivered
Europe,Germany,Clothing,Jeans,747.38,2024,15.23,31.99,High,56,Bank Transfer,Shipped
North America,USA,Furniture,Table,5622.7,2023,18.17,29.5,Medium,67,Bank Transfer,Delivered
North America,Mexico,Clothing,Dress,9778.59,2024,23.57,32.83,Medium,36,Credit Card,Shipped
South America,Brazil,Clothing,Dress,7094.68,2023,16.84,32.78,Low,59,Cash,Delivered
Africa,Nigeria,Clothing,Jeans,8348.39,2024,26.55,49.8,Medium,34,PayPal,Delivered
North America,USA,Clothing,Dress,687.3,2025,29.66,33.93,High,49,Cash,Pending
Africa,South Africa,Furniture,Chair,16691.6,2024,25.37,49.0,Low,31,PayPal,Pending
North America,Mexico,Furniture,Chair,1408.46,2023,6.41,17.62,Low,61,Bank Transfer,Delivered
Asia,China,Food,Cheese,19209.51,2024,23.2,14.2,Low,59,Bank Transfer,Delivered
North America,Mexico,Electronics,Camera,18008.79,2023,12.3,44.42,Medium,42,Credit Card,Delivered
North America,Mexico,Electronics,Smartphone,9505.66,2023,25.44,32.97,Medium,40,Cash,Shipped
North America,USA,Furniture,Sofa,16962.56,2025,12.12,48.79,Low,23,PayPal,Pending
North America,Canada,Clothing,Jeans,14485.4,2025,29.54,16.67,High,42,Bank Transfer,Shipped
Africa,Egypt,Electronics,Smartphone,2093.17,2023,23.98,42.23,High,66,Bank Transfer,Pending
North America,Canada,Furniture,Table,13363.32,2023,26.78,42.24,Low,29,Bank Transfer,Pending
Africa,Nigeria,Clothing,Jeans,8552.17,2025,13.77,45.71,Low,48,Cash,Shipped
Europe,Italy,Electronics,Laptop,18757.72,2024,26.65,20.06,High,35,PayPal,Delivered
Europe,Italy,Furniture,Sofa,15669.69,2024,22.76,43.39,High,53,PayPal,Pending
Asia,India,Electronics,Laptop,19486.66,2023,18.48,40.47,High,27,Credit Card,Delivered
Asia,India,Clothing,Shirt,14971.93,2023,20.36,22.47,Low,64,Credit Card,Pending
Europe,UK,Food,Bread,4061.53,2024,22.97,38.11,Low,67,Credit Card,Pending
Asia,India,Clothing,Dress,6446.51,2025,8.63,41.74,Low,63,Cash,Pending
Asia,Japan,Clothing,Jacket,12987.91,2024,27.54,11.94,High,45,PayPal,Pending
South America,Argentina,Food,Milk,10237.38,2024,23.56,46.02,Low,23,PayPal,Delivered
Africa,Nigeria,Furniture,Chair,2588.13,2024,8.85,47.06,Low,58,Cash,Pending
North America,USA,Electronics,Tablet,2479.06,2025,24.54,21.99,High,22,Cash,Shipped
Asia,China,Food,Bread,17693.79,2025,15.96,26.37,Medium,38,Credit Card,Shipped
Africa,Nigeria,Food,Cheese,17284.33,2025,17.92,49.77,Medium,58,Credit Card,Pending
South America,Argentina,Clothing,Shirt,12025.21,2025,10.34,28.25,Medium,45,PayPal,Delivered
Asia,China,Electronics,Tablet,12315.3,2025,18.26,48.4,High,24,Bank Transfer,Pending
South America,Argentina,Clothing,Dress,7970.06,2023,10.33,11.43,Low,24,Cash,Pending
Asia,India,Food,Cheese,11900.64,2025,27.25,12.32,Low,37,PayPal,Pending
Africa,South Africa,Furniture,Bed,17931.32,2024,22.06,26.37,High,69,Bank Transfer,Shipped
North America,Canada,Furniture,Chair,8123.32,2025,10.37,34.78,High,32,Credit Card,Pending
South America,Argentina,Food,Milk,9768.48,2025,13.25,45.6,High,53,Cash,Pending
Asia,China,Clothing,Jacket,7994.6,2023,17.91,36.09,High,34,PayPal,Shipped
North America,Canada,Food,Bread,16069.89,2024,19.16,10.07,High,36,Credit Card,Shipped
Africa,South Africa,Clothing,Jeans,8010.12,2024,21.57,24.98,Medium,21,Cash,Pending
North America,USA,Food,Milk,7605.45,2024,17.39,42.56,Low,40,Credit Card,Shipped
North America,USA,Furniture,Chair,11185.54,2024,15.89,25.47,High,63,PayPal,Delivered
North America,USA,Clothing,Jeans,14345.43,2024,9.66,40.06,High,33,Cash,Pending
Africa,Egypt,Furniture,Chair,14944.29,2023,27.57,36.33,High,30,Credit Card,Shipped
Asia,South Korea,Clothing,Jeans,11802.25,2025,17.8,26.18,High,67,Bank Transfer,Shipped
Asia,Japan,Food,Bread,6451.08,2023,24.73,45.15,Medium,50,PayPal,Shipped
Europe,Germany,Electronics,Smartphone,16820.55,2024,8.65,16.71,Low,46,Bank Transfer,Shipped
